사고다발지fid,사고다발지id,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤,구분,연도
6805846,2022083,4413310800,44133001,충청남도 천안시 서북구1,충청남도 천안시 서북구 불당동(불당5교 부근),4,4,0,1,3,0,127.109354458942,36.815457982901,"{""type"":""Polygon"",""coordinates"":[[[127.11115109,36.81545798],[127.11111657,36.81517738],[127.11101433,36.81490756],[127.1108483,36.81465889],[127.11062487,36.81444092],[127.11035261,36.81426205],[127.110042,36.81412913],[127.10970496,36.81404728],[127.10935446,36.81401964],[127.10900395,36.81404728],[127.10866692,36.81412913],[127.1083563,36.81426205],[127.10808405,36.81444092],[127.10786062,36.81465889],[127.10769459,36.81490756],[127.10759235,36.81517738],[127.10755783,36.81545798],[127.10759235,36.81573859],[127.10769459,36.81600841],[127.10786062,36.81625707],[127.10808405,36.81647503],[127.1083563,36.8166539],[127.10866692,36.81678681],[127.10900395,36.81686866],[127.10935446,36.8168963],[127.10970496,36.81686866],[127.110042,36.81678681],[127.11035261,36.8166539],[127.11062487,36.81647503],[127.1108483,36.81625707],[127.11101433,36.81600841],[127.11111657,36.81573859],[127.11115109,36.81545798]]]}",자전거사고다발지역,2022
6805893,2022083,4413310800,44133002,충청남도 천안시 서북구2,충청남도 천안시 서북구 불당동(천안아산주님의교회 부근),4,4,0,1,3,0,127.099299845113,36.795628328386,"{""type"":""Polygon"",""coordinates"":[[[127.10109648,36.79562833],[127.10106195,36.79534765],[127.10095972,36.79507776],[127.10079369,36.79482903],[127.10057025,36.79461101],[127.100298,36.79443208],[127.09998739,36.79429913],[127.09965035,36.79421726],[127.09929985,36.79418961],[127.09894934,36.79421726],[127.0986123,36.79429913],[127.09830169,36.79443208],[127.09802944,36.79461101],[127.097806,36.79482903],[127.09763997,36.79507776],[127.09753774,36.79534765],[127.09750321,36.79562833],[127.09753774,36.795909],[127.09763997,36.79617889],[127.097806,36.79642762],[127.09802944,36.79664564],[127.09830169,36.79682455],[127.0986123,36.7969575],[127.09894934,36.79703937],[127.09929985,36.79706702],[127.09965035,36.79703937],[127.09998739,36.7969575],[127.100298,36.79682455],[127.10057025,36.79664564],[127.10079369,36.79642762],[127.10095972,36.79617889],[127.10106195,36.795909],[127.10109648,36.79562833]]]}",자전거사고다발지역,2022
6685109,2021024,4413110400,44131001,충청남도 천안시 동남구1,충청남도 천안시 동남구 사직동(남산사거리 부근),5,5,0,3,1,1,127.148943386129,36.80058750581,"{""type"":""Polygon"",""coordinates"":[[[127.15074002,36.80058751],[127.15070549,36.80030685],[127.15060326,36.80003697],[127.15043723,36.79978825],[127.1502138,36.79957025],[127.14994154,36.79939134],[127.14963093,36.79925839],[127.14929389,36.79917653],[127.14894339,36.79914888],[127.14859288,36.79917653],[127.14825585,36.79925839],[127.14794523,36.79939134],[127.14767298,36.79957025],[127.14744954,36.79978825],[127.14728352,36.80003697],[127.14718128,36.80030685],[127.14714676,36.80058751],[127.14718128,36.80086816],[127.14728352,36.80113804],[127.14744954,36.80138675],[127.14767298,36.80160475],[127.14794523,36.80178365],[127.14825585,36.80191659],[127.14859288,36.80199846],[127.14894339,36.8020261],[127.14929389,36.80199846],[127.14963093,36.80191659],[127.14994154,36.80178365],[127.1502138,36.80160475],[127.15043723,36.80138675],[127.15060326,36.80113804],[127.15070549,36.80086816],[127.15074002,36.80058751]]]}",보행노인사고다발지역,2021
6685110,2021024,4413110500,44131002,충청남도 천안시 동남구2,충청남도 천안시 동남구 영성동(영성교 부근),4,4,1,2,1,0,127.151918186976,36.798492166381,"{""type"":""Polygon"",""coordinates"":[[[127.15371482,36.79849217],[127.1536803,36.7982115],[127.15357806,36.79794162],[127.15341203,36.79769289],[127.1531886,36.79747488],[127.15291634,36.79729597],[127.15260573,36.79716302],[127.15226869,36.79708115],[127.15191819,36.79705351],[127.15156768,36.79708115],[127.15123065,36.79716302],[127.15092003,36.79729597],[127.15064778,36.79747488],[127.15042434,36.79769289],[127.15025832,36.79794162],[127.15015608,36.7982115],[127.15012156,36.79849217],[127.15015608,36.79877283],[127.15025832,36.79904271],[127.15042434,36.79929143],[127.15064778,36.79950944],[127.15092003,36.79968835],[127.15123065,36.79982129],[127.15156768,36.79990316],[127.15191819,36.7999308],[127.15226869,36.79990316],[127.15260573,36.79982129],[127.15291634,36.79968835],[127.1531886,36.79950944],[127.15341203,36.79929143],[127.15357806,36.79904271],[127.1536803,36.79877283],[127.15371482,36.79849217]]]}",보행노인사고다발지역,2021
6678338,2021024,4413110300,44131003,충청남도 천안시 동남구3,충청남도 천안시 동남구 문화동(서울꽃화원 부근),3,3,0,2,1,0,127.148914926184,36.811912389546,"{""type"":""Polygon"",""coordinates"":[[[127.15071156,36.81191239],[127.15067703,36.81163177],[127.1505748,36.81136194],[127.15040877,36.81111326],[127.15018534,36.81089528],[127.14991308,36.8107164],[127.14960247,36.81058347],[127.14926543,36.81050162],[127.14891493,36.81047398],[127.14856442,36.81050162],[127.14822739,36.81058347],[127.14791677,36.8107164],[127.14764452,36.81089528],[127.14742108,36.81111326],[127.14725506,36.81136194],[127.14715282,36.81163177],[127.1471183,36.81191239],[127.14715282,36.81219301],[127.14725506,36.81246284],[127.14742108,36.81271151],[127.14764452,36.81292948],[127.14791677,36.81310836],[127.14822739,36.81324128],[127.14856442,36.81332313],[127.14891493,36.81335077],[127.14926543,36.81332313],[127.14960247,36.81324128],[127.14991308,36.81310836],[127.15018534,36.81292948],[127.15040877,36.81271151],[127.1505748,36.81246284],[127.15067703,36.81219301],[127.15071156,36.81191239]]]}",보행노인사고다발지역,2021
6678107,2021024,4413310300,44133001,충청남도 천안시 서북구1,충청남도 천안시 서북구 백석동(천안용암초등학교주차장 부근),3,3,0,2,0,1,127.117643890654,36.821443606938,"{""type"":""Polygon"",""coordinates"":[[[127.11944052,36.82144361],[127.119406,36.82116302],[127.11930376,36.82089322],[127.11913773,36.82064457],[127.1189143,36.82042663],[127.11864205,36.82024777],[127.11833143,36.82011486],[127.1179944,36.82003301],[127.11764389,36.82000538],[127.11729339,36.82003301],[127.11695635,36.82011486],[127.11664574,36.82024777],[127.11637348,36.82042663],[127.11615005,36.82064457],[127.11598402,36.82089322],[127.11588178,36.82116302],[127.11584726,36.82144361],[127.11588178,36.82172419],[127.11598402,36.82199399],[127.11615005,36.82224263],[127.11637348,36.82246057],[127.11664574,36.82263943],[127.11695635,36.82277233],[127.11729339,36.82285417],[127.11764389,36.82288181],[127.1179944,36.82285417],[127.11833143,36.82277233],[127.11864205,36.82263943],[127.1189143,36.82246057],[127.11913773,36.82224263],[127.11930376,36.82199399],[127.119406,36.82172419],[127.11944052,36.82144361]]]}",보행노인사고다발지역,2021
6780588,2022042,4413110900,44131001,충청남도 천안시 동남구1,충청남도 천안시 동남구 청수동(남부교 부근),6,7,2,4,1,0,127.152901842047,36.797968468671,"{""type"":""Polygon"",""coordinates"":[[[127.15380016,36.79796847],[127.1537829,36.79782813],[127.15373178,36.79769319],[127.15364876,36.79756883],[127.15353705,36.79745983],[127.15340092,36.79737037],[127.15324561,36.79730389],[127.15307709,36.79726296],[127.15290184,36.79724914],[127.15272659,36.79726296],[127.15255807,36.79730389],[127.15240276,36.79737037],[127.15226664,36.79745983],[127.15215492,36.79756883],[127.15207191,36.79769319],[127.15202079,36.79782813],[127.15200353,36.79796847],[127.15202079,36.7981088],[127.15207191,36.79824374],[127.15215492,36.79836811],[127.15226664,36.79847711],[127.15240276,36.79856657],[127.15255807,36.79863304],[127.15272659,36.79867397],[127.15290184,36.79868779],[127.15307709,36.79867397],[127.15324561,36.79863304],[127.15340092,36.79856657],[127.15353705,36.79847711],[127.15364876,36.79836811],[127.15373178,36.79824374],[127.1537829,36.7981088],[127.15380016,36.79796847]]]}",보행노인사고다발지역,2022
6780583,2022042,4413110500,44131002,충청남도 천안시 동남구2,충청남도 천안시 동남구 영성동(남산사거리 부근),5,5,0,5,0,0,127.148855014249,36.800480702324,"{""type"":""Polygon"",""coordinates"":[[[127.14975333,36.8004807],[127.14973607,36.80034037],[127.14968495,36.80020544],[127.14960194,36.80008108],[127.14949022,36.79997208],[127.14935409,36.79988262],[127.14919878,36.79981615],[127.14903027,36.79977522],[127.14885501,36.79976139],[127.14867976,36.79977522],[127.14851124,36.79981615],[127.14835594,36.79988262],[127.14821981,36.79997208],[127.14810809,36.80008108],[127.14802508,36.80020544],[127.14797396,36.80034037],[127.1479567,36.8004807],[127.14797396,36.80062103],[127.14802508,36.80075597],[127.14810809,36.80088033],[127.14821981,36.80098933],[127.14835594,36.80107878],[127.14851124,36.80114525],[127.14867976,36.80118618],[127.14885501,36.8012],[127.14903027,36.80118618],[127.14919878,36.80114525],[127.14935409,36.80107878],[127.14949022,36.80098933],[127.14960194,36.80088033],[127.14968495,36.80075597],[127.14973607,36.80062103],[127.14975333,36.8004807]]]}",보행노인사고다발지역,2022
6831236,2023057,4413110900,44131001,충남 천안시 동남구1,충남 천안시 동남구 청수동(청수 행복어린이집 부근),7,8,2,5,1,0,127.152583291794,36.79776560915,"{""type"":""Polygon"",""coordinates"":[[[127.15437992,36.79776561],[127.1543454,36.79748494],[127.15424316,36.79721506],[127.15407714,36.79696633],[127.1538537,36.79674832],[127.15358145,36.7965694],[127.15327083,36.79643645],[127.1529338,36.79635458],[127.15258329,36.79632694],[127.15223279,36.79635458],[127.15189575,36.79643645],[127.15158514,36.7965694],[127.15131288,36.79674832],[127.15108945,36.79696633],[127.15092342,36.79721506],[127.15082118,36.79748494],[127.15078666,36.79776561],[127.15082118,36.79804628],[127.15092342,36.79831616],[127.15108945,36.79856488],[127.15131288,36.79878289],[127.15158514,36.7989618],[127.15189575,36.79909475],[127.15223279,36.79917661],[127.15258329,36.79920426],[127.1529338,36.79917661],[127.15327083,36.79909475],[127.15358145,36.7989618],[127.1538537,36.79878289],[127.15407714,36.79856488],[127.15424316,36.79831616],[127.1543454,36.79804628],[127.15437992,36.79776561]]]}",보행노인사고다발지역,2023
6831144,2023057,4413110400,44131002,충남 천안시 동남구2,충남 천안시 동남구 사직동(순복음온누리평화교회 부근),5,5,0,5,0,0,127.148803970436,36.800612165561,"{""type"":""Polygon"",""coordinates"":[[[127.1506006,36.80061217],[127.15056608,36.80033151],[127.15046384,36.80006163],[127.15029781,36.79981291],[127.15007438,36.79959491],[127.14980212,36.799416],[127.14949151,36.79928305],[127.14915448,36.79920119],[127.14880397,36.79917355],[127.14845347,36.79920119],[127.14811643,36.79928305],[127.14780582,36.799416],[127.14753356,36.79959491],[127.14731013,36.79981291],[127.1471441,36.80006163],[127.14704186,36.80033151],[127.14700734,36.80061217],[127.14704186,36.80089282],[127.1471441,36.80116269],[127.14731013,36.80141141],[127.14753356,36.80162941],[127.14780582,36.80180831],[127.14811643,36.80194125],[127.14845347,36.80202312],[127.14880397,36.80205076],[127.14915448,36.80202312],[127.14949151,36.80194125],[127.14980212,36.80180831],[127.15007438,36.80162941],[127.15029781,36.80141141],[127.15046384,36.80116269],[127.15056608,36.80089282],[127.1506006,36.80061217]]]}",보행노인사고다발지역,2023
6928928,2024044,4413110500,44131001,충남 천안시 동남구1,충남 천안시 동남구 영성동(건강누리약국 부근),6,6,1,5,0,0,127.151809044986,36.798593043869,"{""type"":""Polygon"",""coordinates"":[[[127.15360568,36.79837196],[127.15357115,36.79809008],[127.15346892,36.79781904],[127.15330289,36.79756924],[127.15307945,36.79735029],[127.1528072,36.7971706],[127.15249659,36.79703708],[127.15215955,36.79695486],[127.15180904,36.7969271],[127.15145854,36.79695486],[127.1511215,36.79703708],[127.15081089,36.7971706],[127.15053864,36.79735029],[127.1503152,36.79756924],[127.15014917,36.79781904],[127.15004694,36.79809008],[127.15001241,36.79837196],[127.15004694,36.79865384],[127.15014917,36.79892488],[127.1503152,36.79917467],[127.15053864,36.79939362],[127.15081089,36.7995733],[127.1511215,36.79970682],[127.15145854,36.79978904],[127.15180904,36.7998168],[127.15215955,36.79978904],[127.15249659,36.79970682],[127.1528072,36.7995733],[127.15307945,36.79939362],[127.15330289,36.79917467],[127.15346892,36.79892488],[127.15357115,36.79865384],[127.15360568,36.79837196]]]}",보행노인사고다발지역,2024
6928814,2024044,4413110900,44131002,충남 천안시 동남구2,충남 천안시 동남구 청수동(어깨동무어린이집 부근),5,6,1,4,1,0,127.152865107139,36.797414859064,"{""type"":""Polygon"",""coordinates"":[[[127.15466174,36.79719379],[127.15462722,36.79691191],[127.15452498,36.79664086],[127.15435895,36.79639106],[127.15413552,36.7961721],[127.15386326,36.79599241],[127.15355265,36.79585889],[127.15321561,36.79577667],[127.15286511,36.7957489],[127.1525146,36.79577667],[127.15217757,36.79585889],[127.15186695,36.79599241],[127.1515947,36.7961721],[127.15137126,36.79639106],[127.15120524,36.79664086],[127.151103,36.79691191],[127.15106848,36.79719379],[127.151103,36.79747567],[127.15120524,36.79774672],[127.15137126,36.79799651],[127.1515947,36.79821546],[127.15186695,36.79839515],[127.15217757,36.79852867],[127.1525146,36.79861089],[127.15286511,36.79863865],[127.15321561,36.79861089],[127.15355265,36.79852867],[127.15386326,36.79839515],[127.15413552,36.79821546],[127.15435895,36.79799651],[127.15452498,36.79774672],[127.15462722,36.79747567],[127.15466174,36.79719379]]]}",보행노인사고다발지역,2024
6929006,2024044,4413110400,44131003,충남 천안시 동남구3,충남 천안시 동남구 사직동(남산중앙약국 부근),5,5,0,5,0,0,127.150121225165,36.800344214822,"{""type"":""Polygon"",""coordinates"":[[[127.15191786,36.80012311],[127.15188333,36.79984124],[127.1517811,36.7995702],[127.15161507,36.79932041],[127.15139163,36.79910146],[127.15111938,36.79892178],[127.15080877,36.79878826],[127.15047173,36.79870604],[127.15012123,36.79867828],[127.14977072,36.79870604],[127.14943368,36.79878826],[127.14912307,36.79892178],[127.14885082,36.79910146],[127.14862738,36.79932041],[127.14846135,36.7995702],[127.14835912,36.79984124],[127.14832459,36.80012311],[127.14835912,36.80040498],[127.14846135,36.80067602],[127.14862738,36.8009258],[127.14885082,36.80114474],[127.14912307,36.80132442],[127.14943368,36.80145794],[127.14977072,36.80154015],[127.15012123,36.80156791],[127.15047173,36.80154015],[127.15080877,36.80145794],[127.15111938,36.80132442],[127.15139163,36.80114474],[127.15161507,36.8009258],[127.1517811,36.80067602],[127.15188333,36.80040498],[127.15191786,36.80012311]]]}",보행노인사고다발지역,2024
6928945,2024044,4413110200,44131004,충남 천안시 동남구4,충남 천안시 동남구 성황동(용약국 부근),5,5,0,5,0,0,127.14860245547,36.812821948198,"{""type"":""Polygon"",""coordinates"":[[[127.15039909,36.81260069],[127.15036456,36.81231886],[127.15026233,36.81204787],[127.1500963,36.81179812],[127.14987287,36.81157921],[127.14960061,36.81139955],[127.14929,36.81126606],[127.14895296,36.81118385],[127.14860246,36.81115609],[127.14825195,36.81118385],[127.14791491,36.81126606],[127.1476043,36.81139955],[127.14733205,36.81157921],[127.14710861,36.81179812],[127.14694259,36.81204787],[127.14684035,36.81231886],[127.14680582,36.81260069],[127.14684035,36.81288251],[127.14694259,36.8131535],[127.14710861,36.81340325],[127.14733205,36.81362215],[127.1476043,36.8138018],[127.14791491,36.81393529],[127.14825195,36.8140175],[127.14860246,36.81404525],[127.14895296,36.8140175],[127.14929,36.81393529],[127.14960061,36.8138018],[127.14987287,36.81362215],[127.1500963,36.81340325],[127.15026233,36.8131535],[127.15036456,36.81288251],[127.15039909,36.81260069]]]}",보행노인사고다발지역,2024
6925820,2024042,4413111800,44131001,충남 천안시 동남구1,충남 천안시 동남구 신부동(역말오거리 부근),3,3,0,0,3,0,127.15420099812,36.825639173831,"{""type"":""Polygon"",""coordinates"":[[[127.15599763,36.82541775],[127.15596311,36.82513597],[127.15586087,36.82486502],[127.15569484,36.82461532],[127.15547141,36.82439644],[127.15519915,36.82421682],[127.15488854,36.82408335],[127.1545515,36.82400115],[127.154201,36.8239734],[127.15385049,36.82400115],[127.15351346,36.82408335],[127.15320284,36.82421682],[127.15293059,36.82439644],[127.15270715,36.82461532],[127.15254113,36.82486502],[127.15243889,36.82513597],[127.15240437,36.82541775],[127.15243889,36.82569953],[127.15254113,36.82597047],[127.15270715,36.82622018],[127.15293059,36.82643904],[127.15320284,36.82661866],[127.15351346,36.82675213],[127.15385049,36.82683432],[127.154201,36.82686207],[127.1545515,36.82683432],[127.15488854,36.82675213],[127.15519915,36.82661866],[127.15547141,36.82643904],[127.15569484,36.82622018],[127.15586087,36.82597047],[127.15596311,36.82569953],[127.15599763,36.82541775]]]}",보행어린이사고다발지역,2024
